,Bankrupt?,ROA,Net Interest Margin,Tax rate (A),Research and development expense rate,Cash flow rate,Interest-bearing debt interest rate,Net Value Per Share (A),Cash Flow Per Share,After-tax Net Profit Growth Rate,Total Asset Growth Rate,Net Value Growth Rate,Cash Reinvestment %,Quick Ratio,Debt ratio %,Borrowing dependency,Contingent liabilities/Net worth,Total Asset Turnover,Fixed Assets Turnover Frequency,Revenue per person,Operating profit per person,Working Capital to Total Assets,Average Total Assets,Cash/Total Assets,Cash/Current Liability,Total expense/Assets,Quick Asset Turnover Rate,Fixed Assets to Assets,Cash Flow to Total Assets,Cash Flow to Equity,Current Liability to Current Assets,Liability-Assets Flag,Total assets to GNP price,Equity to Liability
10,0,0.482474528,0.614025858,0.0,1900000000.0,0.46481803,0.000549055,0.182925288,0.319162481,0.689359727,747000000.0,0.000448555,0.374278157,0.003449214,0.103576503,0.374179962,0.008129814,0.076461769,0.000174751,0.013894805,0.392754574,0.751204343,0.059900571,0.002056836,0.000335896,0.028802401,2920000000.0,0.225490749,0.642949958,0.314569209,0.047166348,0,0.076972257,0.036571691
11,0,0.444401111,0.623711786,0.0,1210000000.0,0.465490719,0.00070307,0.173865408,0.319869845,0.689351994,5730000000.0,0.000455068,0.379941135,0.005122978,0.094385827,0.373113046,0.006969021,0.062968516,0.000106666,0.01042551,0.392437982,0.769113889,0.140018106,0.020542229,0.002253735,0.05695228,8360000000.0,0.328376159,0.644569792,0.314791345,0.033711602,0,0.007317881,0.04038102
12,0,0.491151952,0.608130702,0.185241421,0.0,0.464100048,0.000576058,0.169398677,0.321213836,0.689935937,7220000000.0,0.000442965,0.381571104,0.004029385,0.144662454,0.377306898,0.006553451,0.124437781,0.000214089,0.03532453,0.401845277,0.760000222,0.215491645,0.058218001,0.003220041,0.028981565,6910000000.0,0.283665962,0.62982715,0.312178873,0.04351399,0,0.00823249,0.02528172
13,0,0.474040852,0.600577985,0.0,917000000.0,0.467198443,0.000709071,0.171547765,0.32231025,0.689652794,6160000000.0,0.000442092,0.382670169,0.006446767,0.10656952,0.37315107,0.006498611,0.145427286,0.00017929,0.026118121,0.392494516,0.791909627,0.248973745,0.074169857,0.005663643,0.024483556,6330000000.0,0.412271984,0.656022847,0.316477361,0.028901672,0,0.005262223,0.035464109
14,0,0.506703066,0.604685856,0.0,0.0,0.478766681,0.000910091,0.180565505,0.32386645,0.689922346,723000000.0,0.000473734,0.383024105,0.012023277,0.089639326,0.373692357,0.005452374,0.101949025,9460000000.0,0.02594774,0.399923113,0.802390919,0.203548425,0.021194017,0.004008796,0.011941507,8160000000.0,0.577590085,0.622834522,0.311871814,0.015553133,0,0.003953923,0.042646425
15,0,0.513820504,0.621773159,0.258730641,79800000.0,0.472093472,0.000479048,0.174328937,0.325564123,0.689318495,830000000.0,0.000469242,0.387662531,0.007063121,0.099071863,0.373544733,0.006189675,0.148425787,0.000305625,0.027695607,0.404513693,0.791990661,0.216980303,0.003766824,0.000371908,0.055381895,6060000000.0,0.261446326,0.642851149,0.314555262,0.025812849,0,0.006590346,0.038353747
16,0,0.488909472,0.606523588,0.029456423,849000000.0,0.462196053,0.000523052,0.183852345,0.317924595,0.689933282,7030000000.0,0.000458562,0.3757591,0.004346296,0.061281253,0.372267566,0.005597397,0.019490255,5600000000.0,0.015014027,0.393726962,0.752032218,0.096143962,0.052866701,0.007164914,0.007678609,0.000213596,0.176992242,0.642257054,0.314486884,0.04629123,0,0.013610655,0.06294023
17,0,0.53595281,0.618450828,0.217430914,0.0,0.470061985,0.000637064,0.189541107,0.323159086,0.689548286,6960000000.0,0.000471763,0.38119854,0.007383152,0.078725398,0.372724975,0.00608426,0.125937031,0.000228462,0.016403507,0.40057891,0.816363502,0.239670321,0.013907171,0.001639336,0.040018486,7550000000.0,0.212349965,0.639850773,0.314173995,0.018156638,0,0.002746305,0.048821928
18,0,0.504070589,0.598343879,0.09555623,119000000.0,0.46844317,0.000619062,0.175129577,0.327191059,0.68942032,6340000000.0,0.000461032,0.386908088,0.004172245,0.141336881,0.378709322,0.005365848,0.229385307,0.000199715,0.104918996,0.401754822,0.766580251,0.221159768,0.012801285,0.000774571,0.0200028,319000000.0,0.588536992,0.643642036,0.314693394,0.040083663,0,0.004238395,0.025953223
19,0,0.487398235,0.63625881,0.441643891,0.0,0.465163601,0.000550055,0.176478025,0.319905213,0.689233838,6250000000.0,0.00044556,0.378497448,0.008200383,0.077485866,0.371230845,0.005365848,0.11844078,0.000136926,0.004873463,0.393252075,0.809073201,0.249596686,0.093503139,0.009000166,0.087295963,8050000000.0,0.453055477,0.652471662,0.315775233,0.021936861,0,0.001521377,0.049622455
20,0,0.485253254,0.622176739,0.261058812,1040000000.0,0.488241363,0.0,0.189119717,0.322946877,0.68933018,6460000000.0,0.00044561,0.379382288,0.022852523,0.096350939,0.369637181,0.005365848,0.053973013,9000000000.0,0.018295316,0.398317541,0.789153248,0.157050073,0.031924086,0.013033331,0.023529483,0.000118963,0.312307508,0.626864079,0.31234026,0.010940728,0,0.014039384,0.039507005
21,0,0.504558085,0.607446057,0.208928029,1190000000.0,0.470644087,0.000775078,0.185453626,0.327084954,0.689529416,6560000000.0,0.000466397,0.386777691,0.012931588,0.100734649,0.371209596,0.005365848,0.173913043,0.000309408,0.025891926,0.397910495,0.847345862,0.488012595,0.139413215,0.010744401,0.033490378,0.000111245,0.282147476,0.682822774,0.320216463,0.018612943,0,0.000935478,0.037680086
22,0,0.51201677,0.618933683,0.005567365,0.0,0.470652475,0.000753075,0.176983692,0.329631464,0.689904111,5750000000.0,0.000466971,0.387429678,0.005050612,0.146506636,0.377012769,0.005621161,0.125937031,0.000102127,0.006359884,0.394009633,0.764144883,0.230240983,0.038272303,0.00260549,0.056786552,6590000000.0,0.643453605,0.644473458,0.314851097,0.040394784,0,0.001829758,0.024914605
23,0,0.49485692,0.6095072,0.417653609,0.0,0.464264446,0.000645065,0.184400152,0.329383886,0.68925744,6900000000.0,0.00044319,0.386665922,0.004563393,0.193034435,0.387275964,0.005365848,0.082458771,0.00010591,0.014417696,0.396338844,0.734030367,0.387480963,0.20786639,0.007405721,0.02305698,0.000196857,0.44612495,0.649228568,0.316243871,0.055242675,0,0.018753173,0.018005125
24,0,0.509969288,0.602956226,0.306913655,0.0,0.464603306,0.000762076,0.172896212,0.328252104,0.689397323,6140000000.0,0.000457539,0.390736187,0.004270812,0.194515827,0.388057698,0.005365848,0.184407796,0.000186855,0.028565134,0.398046177,0.745811316,0.345390361,0.017860839,0.000643438,0.02884647,6920000000.0,0.529125896,0.643445729,0.314705798,0.050170651,0,0.000830379,0.017839201
25,0,0.444986106,0.611762925,0.0,1240000000.0,0.466873003,0.000739074,0.161307994,0.320435736,0.689277436,5490000000.0,0.000397498,0.380760776,0.004348168,0.146748496,0.377159275,0.006770986,0.04197901,6200000000.0,0.009130032,0.390855024,0.752991982,0.102841764,0.014953766,0.001762148,0.029878824,9360000000.0,0.375466284,0.644398384,0.314837673,0.04550392,0,0.005886934,0.024868729
26,0,0.519280456,0.626544055,0.231096265,900000000.0,0.471058437,0.000691069,0.179217058,0.325776332,0.689365728,6580000000.0,0.00045417,0.384495734,0.004628896,0.092057925,0.372166913,0.005365848,0.109445277,953000000.0,0.007725864,0.395502137,0.7469121,0.180028692,0.026006422,0.002078155,0.053100818,6300000000.0,0.636099657,0.640119881,0.3141851,0.051481376,0,0.001192833,0.041464966
27,0,0.54740896,0.609737817,0.213786821,1440000000.0,0.495880828,0.001063106,0.182630315,0.331895027,0.689569782,6640000000.0,0.000458861,0.390475392,0.012717611,0.03609759,0.369875392,0.005365848,0.148425787,0.000160378,0.022352129,0.403190792,0.839002275,0.28056936,0.106296004,0.014550059,0.021203559,7240000000.0,0.517946678,0.637185003,0.313953509,0.013393307,0,0.000703131,0.104842365
28,0,0.500853118,0.60202655,0.196376151,577000000.0,0.473888428,0.000822082,0.177952889,0.325245809,0.68959676,5980000000.0,0.000460982,0.386423755,0.007893453,0.089578861,0.3719712,0.005897192,0.103448276,0.0001339,0.012990027,0.392867642,0.819444466,0.219245901,0.007991229,0.000850943,0.020951194,8030000000.0,0.353769066,0.628234571,0.312596553,0.018802183,0,0.001225311,0.0426819
29,1,0.416126359,0.599115006,0.0,50900000.0,0.460246764,0.000842084,0.156209178,0.313185259,0.689099177,654000000.0,0.000417986,0.369136768,0.001933905,0.219608792,0.392590414,0.016895778,0.214392804,0.000384301,0.054445309,0.394100088,0.703730256,0.316573275,0.008266417,0.000221174,0.053089553,5430000000.0,0.28204267,0.629328601,0.309716168,0.065815853,0,0.003010609,0.015348595
30,1,0.462194706,0.599987028,0.0,0.0,0.458983585,0.000943094,0.145505878,0.312690104,0.688191178,6430000000.0,0.000417811,0.370291718,0.001388669,0.228890165,0.396528161,0.005365848,0.064467766,4840000000.0,0.012308506,0.389814794,0.673325141,0.105993835,0.011060914,0.000415664,0.022401707,6420000000.0,0.669737404,0.64648698,0.316005968,0.12488271,0,0.00163072,0.014561571
31,0,0.476088334,0.618868822,0.0,1120000000.0,0.46320928,0.000827083,0.158695377,0.322345618,0.689701702,567000000.0,0.000444213,0.382455944,0.002473527,0.208241376,0.38402489,0.006577825,0.103448276,0.000146004,0.012185127,0.394100088,0.697045111,0.227059469,0.02307052,0.000846474,0.055344203,8130000000.0,0.378040022,0.641914018,0.314250138,0.082666072,0,0.015252473,0.016403931
32,0,0.505874324,0.601168942,0.077032088,67900000.0,0.464459039,0.000672067,0.177025831,0.321284572,0.689413279,6960000000.0,0.000450302,0.37847882,0.00669256,0.116848565,0.37558015,0.005365848,0.220389805,0.000500045,0.030321813,0.395909183,0.785427201,0.341625721,0.006430036,0.000386364,0.026124487,5880000000.0,0.240775846,0.639589148,0.314051052,0.033441832,0,0.009773677,0.032085741
33,0,0.486374494,0.603475115,0.039983804,0.0,0.465754091,0.000728073,0.185875016,0.321036995,0.689397525,6760000000.0,0.000452099,0.381068142,0.009680132,0.06233939,0.370535225,0.005365848,0.137931034,0.000228462,0.015951118,0.391024626,0.799890751,0.344784958,0.1099419,0.009212857,0.029797683,9980000000.0,0.304841377,0.629533297,0.312978148,0.025690359,0,0.000784802,0.061886603
34,0,0.494369424,0.599107799,0.093835408,0.0,0.463652148,0.000686069,0.174033964,0.320930891,0.689365584,6140000000.0,0.000433258,0.376550799,0.007094937,0.124104363,0.37531398,0.005575461,0.389805097,0.000810209,0.033009709,0.395762194,0.826180808,0.480039533,0.009640278,0.000472725,0.040701109,4190000000.0,0.246535178,0.643199374,0.314609647,0.027009776,0,0.005123568,0.030023557
35,0,0.475162092,0.614278096,0.0,1380000000.0,0.466757253,0.00059606,0.180186254,0.319763741,0.689401247,751000000.0,0.000451699,0.375777728,0.004129824,0.122622971,0.376271296,0.008407063,0.071964018,0.000170212,0.015572169,0.392596278,0.753131107,0.060887681,0.001818174,0.000354145,0.030237273,3230000000.0,0.21821712,0.642934308,0.314567046,0.043569973,0,0.080005795,0.030431234
36,0,0.462925949,0.622702835,0.0,1090000000.0,0.463940683,0.000588059,0.166111837,0.319693004,0.688702207,7460000000.0,0.000415565,0.379633769,0.003461691,0.139281071,0.377688259,0.005975797,0.064467766,0.000105153,0.010363821,0.393206847,0.752031074,0.124182432,0.034649948,0.002735428,0.044445132,8150000000.0,0.309750773,0.650558827,0.31590955,0.047146168,0,0.007562958,0.026387357
37,0,0.478915809,0.607042477,0.544893208,0.0,0.463568271,0.000612061,0.167502423,0.319551531,0.689193385,6180000000.0,0.000434106,0.378860698,0.005765533,0.147201983,0.377008296,0.006593668,0.103448276,0.000167186,0.031335282,0.397865268,0.784658594,0.21637351,0.042104213,0.003328671,0.026885666,7980000000.0,0.362534211,0.634731523,0.313047165,0.030711116,0,0.007307566,0.024780878
38,0,0.481060791,0.60088067,0.0,849000000.0,0.467552402,0.000793079,0.172179849,0.320152791,0.690046793,6050000000.0,0.000448181,0.379475429,0.011513599,0.095383499,0.372061787,0.006433411,0.146926537,0.000186855,0.026544071,0.393240768,0.821157204,0.235861818,0.055163022,0.007846192,0.022711197,5800000000.0,0.408581394,0.632605929,0.313142716,0.015303614,0,0.004593395,0.03993517
39,0,0.486228246,0.598444774,0.0,0.0,0.471709318,0.00079708,0.177110109,0.321426045,0.689186893,5990000000.0,0.000443315,0.379484743,0.012083789,0.08008586,0.373058246,0.005365848,0.088455772,8090000000.0,0.022898521,0.391363832,0.80096655,0.233810832,0.025434432,0.004185023,0.014152417,0.000102166,0.55225808,0.644374223,0.314751487,0.017390013,0,0.003424982,0.047959942
40,0,0.507824307,0.625326107,0.302560988,1040000000.0,0.469151087,0.000494049,0.174876744,0.324503077,0.689473757,7940000000.0,0.000463228,0.386135017,0.005322607,0.118874142,0.374405871,0.006367603,0.122938531,0.000231488,0.026620449,0.407464779,0.773200226,0.190353483,0.004233507,0.000360167,0.053386544,6360000000.0,0.290158934,0.643425083,0.314643584,0.034282255,0,0.007173155,0.031485359
41,0,0.48915322,0.604411998,0.0,968000000.0,0.461857192,0.000560056,0.185074375,0.317853859,0.689464524,7220000000.0,0.000461531,0.375656645,0.003651962,0.06902077,0.372736159,0.005768621,0.019490255,6660000000.0,0.015789551,0.392471902,0.746585922,0.114648343,0.054515238,0.005767471,0.009311912,0.000256724,0.141590934,0.645965104,0.314936619,0.052989493,0,0.013697704,0.055857782
42,0,0.511188027,0.61817697,0.235752607,0.0,0.46673209,0.000593059,0.186970629,0.322239513,0.68929772,6770000000.0,0.000447207,0.377975858,0.005565281,0.08664631,0.373331126,0.006040387,0.107946027,0.000283687,0.014038747,0.397401687,0.801107925,0.246683999,0.049665261,0.004285039,0.042633752,9180000000.0,0.182692608,0.659746972,0.316789254,0.025041042,0,0.002623154,0.044195081
43,0,0.523034173,0.600347367,0.122178358,119000000.0,0.466916618,0.000654065,0.178964224,0.327120323,0.689722823,6830000000.0,0.000464077,0.384244253,0.003237108,0.137981074,0.377794503,0.005365848,0.230884558,0.000214089,0.110150845,0.41638588,0.751569315,0.20799927,0.018552171,0.000935597,0.018240739,3050000000.0,0.533104546,0.645890343,0.315083273,0.047820571,0,0.004076308,0.026673956
44,0,0.508848048,0.635718301,0.390120458,0.0,0.468025465,0.000566057,0.174413215,0.322982245,0.689680436,7160000000.0,0.000451799,0.383741291,0.006854135,0.091150951,0.371372877,0.005365848,0.127436282,0.000146761,0.005278851,0.393715655,0.79592654,0.267970699,0.084808266,0.006379642,0.084879324,8550000000.0,0.446059811,0.642674915,0.314531878,0.027989221,0,0.001521113,0.041905813
45,0,0.488958222,0.624317156,0.216621115,1100000000.0,0.487182842,0.0,0.187097046,0.3219212,0.689482067,6440000000.0,0.000448929,0.378748929,0.017748884,0.094234665,0.369637181,0.005365848,0.052473763,8930000000.0,0.019020901,0.400658058,0.775479414,0.105126038,0.008047887,0.003746093,0.023460446,7930000000.0,0.308787397,0.631973383,0.313063987,0.013788045,0,0.012883194,0.040449897
46,0,0.502120606,0.608865795,0.29588015,107000000.0,0.468696476,0.001071107,0.185200792,0.324892127,0.689417232,6720000000.0,0.000456316,0.382558399,0.014383265,0.099676512,0.370670547,0.005365848,0.191904048,0.000368414,0.029916426,0.400680672,0.855304513,0.552129742,0.13360494,0.010425035,0.043792261,0.000114504,0.262170882,0.642729946,0.314538153,0.017567908,0,0.000886674,0.038105212
47,0,0.523082923,0.620944378,0.281000101,0.0,0.471281548,0.000750075,0.178753529,0.331470609,0.68943466,6430000000.0,0.000453596,0.386861518,0.005068704,0.14194153,0.375735602,0.00565955,0.131934033,0.000108179,0.006597829,0.395038556,0.76454758,0.242457571,0.051390454,0.003251376,0.058327857,6960000000.0,0.626178519,0.649071687,0.315666111,0.040686295,0,0.001675211,0.025829305
48,0,0.493345683,0.610206258,0.250126531,0.0,0.460268572,0.000655066,0.185411487,0.312301054,0.689697806,7210000000.0,0.000449154,0.37183786,0.004405561,0.201106509,0.388924428,0.005365848,0.071964018,8620000000.0,0.014168001,0.394868954,0.736628546,0.41925756,0.09986268,0.003421582,0.022561731,0.000249781,0.424469764,0.601877719,0.302722319,0.05379309,0,0.018858531,0.017125137
49,0,0.505630576,0.60456334,0.244255491,815000000.0,0.463714216,0.00080108,0.172516961,0.32464455,0.689369191,6000000000.0,0.000455318,0.38564137,0.004202189,0.184660036,0.38553915,0.005365848,0.16041979,0.000153569,0.024144059,0.39757129,0.741778104,0.35218295,0.008639337,0.000307647,0.030003088,8180000000.0,0.561131282,0.638240962,0.313410109,0.051783386,0,0.000717098,0.01899811
50,0,0.469555891,0.619402125,0.0,165000000.0,0.464326514,0.000676068,0.159538157,0.319657636,0.689603339,6400000000.0,0.000432809,0.379736224,0.002901482,0.15421592,0.378099816,0.006672882,0.046476762,6430000000.0,0.009329789,0.394552362,0.732740421,0.095486646,0.014188683,0.001211042,0.028967961,8390000000.0,0.371978607,0.642581731,0.314498719,0.071173171,0,0.005375904,0.023491356
51,0,0.523716667,0.626414333,0.353983197,866000000.0,0.471050049,0.00079808,0.179427753,0.326837377,0.689385407,6410000000.0,0.000445885,0.384197683,0.00426083,0.091604438,0.372056195,0.005365848,0.104947526,8850000000.0,0.008007873,0.39653106,0.739914837,0.187122295,0.033585921,0.002383786,0.04929908,6810000000.0,0.595635711,0.64645324,0.315043261,0.057507852,0,0.001088206,0.041680209
52,0,0.521912933,0.609290996,0.285453993,1770000000.0,0.468896102,0.000943094,0.178669251,0.321956568,0.689285803,7480000000.0,0.000461606,0.382362803,0.010421254,0.051848717,0.371134666,0.005365848,0.136431784,0.0001513,0.023145279,0.402523688,0.820765492,0.327415425,0.114842024,0.011028814,0.024983799,9930000000.0,0.431696603,0.652728474,0.315678315,0.019789517,0,0.000729497,0.074265998
53,0,0.503193097,0.603590424,0.27320579,475000000.0,0.467102824,0.000852085,0.179385614,0.322522459,0.689389504,7060000000.0,0.000459909,0.38156179,0.006195359,0.093902107,0.371953306,0.005947158,0.095952024,0.000167943,0.013471792,0.39377219,0.797277117,0.225298321,0.00884665,0.000701192,0.015704432,9660000000.0,0.241062115,0.643606211,0.314658902,0.027016807,0,0.00121048,0.040601054
54,1,0.453029786,0.596945762,0.0,0.0,0.462243024,0.000726073,0.156799124,0.318914904,0.689409471,5960000000.0,0.000401067,0.377938601,0.001559601,0.21035765,0.392383517,0.007769085,0.04197901,552000000.0,0.025571729,0.390176613,0.715123509,0.087235067,0.005559438,0.000327499,0.01597916,8250000000.0,0.402247746,0.642588261,0.314457557,0.086458323,0,0.040160605,0.016198909
55,1,0.472090869,0.597392583,0.0,136000000.0,0.461377419,0.000558056,0.148202773,0.317535545,0.689628528,5470000000.0,0.000401291,0.376178235,0.002200909,0.235299453,0.405124999,0.012126475,0.137931034,0.000278391,0.0597976,0.391917867,0.662359963,0.255993314,0.020326853,0.000534161,0.020195192,6540000000.0,0.259437933,0.643175577,0.314676264,0.09480622,0,0.007233192,0.014054216
56,1,0.066933164,0.601860794,0.0,115000000.0,0.458263926,0.00039904,0.120011799,0.30848129,0.68608465,7230000000.0,0.000154243,0.327158079,0.00330885,0.321371346,0.262035237,0.000633104,0.292353823,0.000699004,0.048053112,0.370208724,0.692375034,0.566755117,0.210915212,0.00443736,0.203706253,7650000000.0,0.222814962,0.705153031,0.24044999,0.065285749,1,0.005803037,0.00917817
57,1,0.406668942,0.595994465,0.0,0.0,0.459605949,0.000582058,0.151531752,0.31159369,0.689456445,4670000000.0,0.000350634,0.365942029,0.001948254,0.221452973,0.391787431,0.005365848,0.148425787,0.000228462,0.053572845,0.368761448,0.676279736,0.227439327,0.04992772,0.001334543,0.06889951,4860000000.0,0.374422368,0.625578881,0.308228078,0.083357788,0,0.001053039,0.015185546
58,0,0.48223078,0.618083282,0.0,1240000000.0,0.462571819,0.000708071,0.156082761,0.319799109,0.689745704,6170000000.0,0.00044883,0.378916583,0.003603302,0.202859993,0.38224446,0.007032393,0.11844078,0.000146004,0.012696268,0.393749576,0.72385504,0.220753014,0.03029461,0.001421194,0.056916081,7000000000.0,0.429555894,0.641708474,0.314207597,0.065772709,0,0.014206822,0.016943025
59,0,0.488519475,0.600736534,0.170968722,67900000.0,0.462898937,0.000356036,0.183388816,0.320718681,0.689278503,6320000000.0,0.000406108,0.374538952,0.004127952,0.141548508,0.37787167,0.006256703,0.230884558,0.000491724,0.034143619,0.396022252,0.76716291,0.259888602,0.016028416,0.000741401,0.028336349,3860000000.0,0.267661355,0.645520639,0.31502907,0.041568851,0,0.011073301,0.025912547
60,0,0.476478331,0.604635408,0.495191821,0.0,0.467257157,0.000408041,0.181281868,0.31997595,0.689269559,6140000000.0,0.000446284,0.379754853,0.01595971,0.041630136,0.369637181,0.005365848,0.134932534,0.000232245,0.014767269,0.39190656,0.820679032,0.339912626,0.099152341,0.013562296,0.03167794,9660000000.0,0.302931735,0.643578809,0.314636997,0.015794181,0,0.00078694,0.091710054
61,0,0.488129479,0.597947506,0.0,0.0,0.46743162,0.000476048,0.168176647,0.323052982,0.688829135,5910000000.0,0.000417661,0.381058828,0.008819232,0.122411343,0.374532246,0.005735717,0.4017991,0.000888885,0.030950458,0.393319916,0.846880272,0.471314054,0.033919963,0.002357553,0.044972547,3870000000.0,0.231180919,0.64865091,0.315476729,0.019877914,0,0.004863353,0.030485744
62,0,0.469165895,0.61047291,0.109120356,1430000000.0,0.467738607,0.000433043,0.176098774,0.31997595,0.689268722,6010000000.0,0.000438973,0.376634626,0.004586475,0.116213683,0.37558015,0.009133397,0.074962519,0.000185342,0.019623107,0.393285995,0.755503983,0.068480986,0.00217961,0.00041714,0.031204175,3200000000.0,0.210569728,0.643101871,0.314592771,0.040150421,0,0.083300594,0.032276295
63,0,0.48227953,0.619048992,0.0,679000000.0,0.462227926,0.000594059,0.165648308,0.318384381,0.689915999,67600000.0,0.000451949,0.37748221,0.004285784,0.152099646,0.379104104,0.005935581,0.085457271,0.000174751,0.015381226,0.396485833,0.756146613,0.204884782,0.041460898,0.002931636,0.040546409,9740000000.0,0.241009248,0.64608157,0.315170058,0.044582633,0,0.008638505,0.023865991
64,0,0.464193438,0.605932631,0.0,0.0,0.460946294,0.000353035,0.171042097,0.316898918,0.689418963,652000000.0,0.000436677,0.375451734,0.004074926,0.158388004,0.378454336,0.006371259,0.095952024,0.000135413,0.029070399,0.39398702,0.756244703,0.207000486,0.038855129,0.002300669,0.026621944,8470000000.0,0.367042077,0.628199794,0.31161782,0.045108807,0,0.008203386,0.022774349
65,0,0.475893336,0.600736534,0.097884401,764000000.0,0.464433876,0.000380038,0.174160381,0.319233218,0.689580689,6520000000.0,0.000444487,0.377752319,0.012617173,0.100553255,0.372762999,0.00623111,0.148425787,0.000208037,0.030747764,0.393331223,0.834827305,0.321956606,0.091954131,0.010757686,0.019879244,8400000000.0,0.36253608,0.660018284,0.316984529,0.015501967,0,0.005121702,0.037747762
66,0,0.473504607,0.595122443,0.0,0.0,0.461806866,0.000428043,0.172769795,0.317853859,0.689105756,6340000000.0,0.000432659,0.376560113,0.007113029,0.0857998,0.373364677,0.005365848,0.091454273,9380000000.0,0.02198493,0.388571041,0.790630965,0.270834288,0.067773623,0.00550182,0.011845128,0.000117014,0.473395734,0.658205332,0.316577607,0.028551561,0,0.003421363,0.044640214
